Website, Report Type, Average
 hungerford.uk.net,New Report,2.00
 huobi.com.ru,New Report,2.00
 i,donline.com,2.77
 ia802905.us.archive.org,New Report,2.00
 iais.org.my,New Report,2.62
 ibme.uzh.ch,New Report,2.00
 icaa.cc,New Report,2.50
 ichriss.ccarh.org,New Report,2.00
 icpc.global,New Report,2.50
 id.rsqtechnologies.com,New Report,2.00
 impact.ref.ac.uk,New Report,2.20
 inas,fid.org,2.92
 informath.org,New Report,2.33
 inmos.com,New Report,2.43
 insectbraindb.org,New Report,2.98
 insideathletic.com,New Report,2.92
 inspiredhealthmed.com,New Report,2.61
 intouch.org,New Report,2.70
 inuidea.com,New Report,2.67
 ipsoft,tg.com,3.00
 irishtatler.com,New Report,2.16
 isae3402.co.uk,New Report,2.83
 islands.scot,New Report,2.00
 israpost.com,New Report,2.85
 istanbulyelken.org.tr,New Report,2.77
 isw3.naist.jp,New Report,2.80
 itarashop.ng,New Report,2.81
 ivoilic.com,New Report,2.50
 ixpe.msfc.nasa.gov,New Report,2.17
 janestyle.net,New Report,2.00
 jeccomposites.com,New Report,3.67
 jenniferperryman.com,New Report,2.33
 jobs.gsk.com,New Report,2.73
 jointpublicissues.org.uk,New Report,2.27
 jp2.org,New Report,2.20
 jssj.org,New Report,2.75
 jufjannieapps.nl,New Report,2.86
 kanjikana.com,New Report,2.33
 kb.cf7skins.com,New Report,2.29
 kellsirish.com,New Report,2.33
 kellywillis.com,New Report,2.85
 kenkou,wakayama.jp,2.03
 kevinschwantz.com,New Report,2.00
 khanbank.com,New Report,2.38
 kicad.org,New Report,2.40
 king.myapp.com,New Report,2.33
 kingstonbeta.com,New Report,2.32
 kojipkgs.fedoraproject.org,New Report,2.00
 kpopherald.koreaherald.com,New Report,2.44
 lahistoryarchive.org,New Report,2.47
 lametric.com,New Report,2.59
 lampa.cl,New Report,2.28
 laplacem.vtcgame.vn,New Report,2.44
 lgfcu.org,New Report,2.78
 libano.org.br,New Report,2.00
 lightstation.com,New Report,2.62
 live4.io,New Report,2.29
 loanscalc.org,New Report,2.93
 login.xecurify.com,New Report,2.14
 londonwaldorf.ca,New Report,2.21
 lorealcontentpro.com,New Report,2.19
 ls,extrusion.eu,2.63
 lukeo.cs.illinois.edu,New Report,2.91
 lutris.com,New Report,3.00
 lynxartcollection.com,New Report,2.00
 m.valleyevents.ca,New Report,2.00
 macrossworld.com,New Report,2.00
 madan.bg,New Report,3.00
 maddiesfund.org,New Report,2.50
 mailboxnearme.net,New Report,2.25
 malaria.jhsph.edu,New Report,2.57
 mannersmith.com,New Report,2.75
 marom.hu,New Report,2.80
 martinmch.com,New Report,2.00
 masoftware.org,New Report,2.50
 massmedic.com,New Report,2.59
 mateuszcholewka.com,New Report,2.00
 math.nist.gov,New Report,2.00
 maxgazze.it,New Report,2.13
 mbq,tmt.org,2.29
 mediendenk.de,New Report,2.08
 mercenary,wars.net,2.40
 mhikes.com,New Report,2.36
 migracion.gob.bo,New Report,2.23
 mim,soft.com,2.44
 minnur.com,New Report,2.40
 misms.net,New Report,2.75
 mod.studio,New Report,2.78
 modeleau.fsg.ulaval.ca,New Report,2.43
 monacostatistics.mc,New Report,2.25
 moonplay.online,New Report,2.11
 moore,sc,3.00
 motorola,blog.blogspot.com,2.65
 mpeoplemusic.com,New Report,3.00
 mrk.mk,New Report,2.00
 mt.ro,New Report,2.30
 munsterland.net,New Report,2.60
 museumsaustralia.org.au,New Report,2.75
 music,facts.ru,2.00
 my.siop.org,New Report,2.31
 napak.com,New Report,2.00
 naprice.com,New Report,2.46
 nationalsheep.org.uk,New Report,2.40
 nattou.org,New Report,2.00
 nesdev.com,New Report,2.00
 newsounds.org,New Report,2.58
 newtownline.pa,tec.org,2.25
 newuniversity.org,New Report,2.17
 nghenhac123.com,New Report,2.93
 nic.xyz,New Report,2.00
 
 niguelshores.org,New Report,2.82
 nistara.net,New Report,2.64
 nooriworld.net,New Report,2.34
 notdeadyet.org,New Report,2.38
 numero.com.cn,New Report,2.80
 nwabr.org,New Report,2.06
 oheuropa.com,New Report,2.49
 oostende.be,New Report,2.38
 openhome.alipay.com,New Report,2.97
 openswr.org,New Report,2.82
 
 opinion22.com.ar,New Report,2.29
 ossininglibrary.org,New Report,2.84
 otes.asu.edu,New Report,2.87
 ouroboros.audio,New Report,2.86
 outofthefog.net,New Report,2.73
 ozwhitelufc.net.au,New Report,2.00
 p,ramlee.com,2.00
 pacsoa.org.au,New Report,2.00
 paoloconte.it,New Report,2.25
 pastebin.mozilla.org,New Report,3.50
 pcpmusic.com,New Report,2.00
 pctonline.com,New Report,2.92
 perheyritys.fi,New Report,2.92
 periodika.digitale,sammlungen.de,2.95
 phxart.org,New Report,2.18
 piar.hu,New Report,2.20
 pigfarmer.gr,New Report,2.41
 
 placergroup.com,New Report,3.00
 planetark.org,New Report,2.29
 platon.gendagigo.jp,New Report,2.00
 playfordspast.recollect.net.au,New Report,2.20
 plumi.org,New Report,2.49
 pnwphotoblog.com,New Report,2.66
 pokergrinderapp.com,New Report,2.16
 polyatalexei.narod.ru,New Report,2.25
 polytopia.io,New Report,2.63
 postakodu.ptt.gov.tr,New Report,2.35
 postcodebyaddress.co.uk,New Report,3.11
 premierpoms.com,New Report,1.86
 www.printicular.com,New Report,2.29
 publikationen.badw.de,New Report,2.33
 purpleirisfoundation.com,New Report,3.00
 pymairport.com,New Report,2.29
 qemu.readthedocs.io,New Report,2.71
 quizzingaustralia.org,New Report,2.14
 
 rgsilva.com,New Report,2.83
 riggertalk.com,New Report,2.61
 rio.upo.es,New Report,2.83
 ripe,atlas,2.75
 robosoft.com.tr,New Report,2.61
 rohanvarma.me,New Report,2.95
 rolfdisch.de,New Report,2.21
 roug.org,New Report,2.00
 royensoc.co.uk,New Report,2.91
 ruhabenjamin.com,New Report,2.00
 runasradio.com,New Report,2.50
 rutlandwater.org.uk,New Report,2.67
 sacramentoartglass.com,New Report,2.10
 salzburg,burgen.at,2.88
 santamonicabay.org,New Report,2.10
 sauria.com,New Report,2.00
 scarrowbeckbenefice.org.uk,New Report,2.10
 scfestivalofflowers.org,New Report,2.93
 sdev,apps.com,3.09
 selectedfirms.co,New Report,2.20
 selleradise.com,New Report,3.17
 shoppurecam.com,New Report,3.00
 silvergames.com,New Report,2.34
 sistrix.com,New Report,2.38
 smartgrid.epri.com,New Report,2.67
 snob.ru,New Report,2.36
 solita.fi,New Report,3.14
 soslc.lk,New Report,2.73
 sso2.educamos.com,New Report,2.67
 staxwp.com,New Report,2.25
 stevebeck.tv,New Report,2.57
 streetspirits.com,New Report,3.00
 studio.apollographql.com,New Report,2.27
 sumichem.co.in,New Report,2.71
 svn.wikia,code.com,2.26
 swandolphin.com,New Report,2.20
 swinburnearchive.indiana.edu,New Report,2.50
 swls.org,New Report,2.00
 thebanner.goodbarber.com,New Report,2.70
 thefifearms.com,New Report,2.68
 theirishroadtrip.com,New Report,2.11
 thelavinagency.com,New Report,2.39
 theotherartfair.com,New Report,2.38
 thewinesociety.com,New Report,2.13
 theyellowsparrow.com,New Report,2.96
 timesteps.net,New Report,3.18
 tinythread.sourceforge.net,New Report,2.00
 torr,penn.bzh,2.21
 townofashland.org,New Report,2.29
 transparency.it,New Report,2.80
 trfinc.org,New Report,2.67
 
 turinghub.org,New Report,2.41
 typingadventure.com,New Report,2.38
 ucla.academicworks.com,New Report,2.99
 ultracold.jqi.umd.edu,New Report,2.86
 universityarchives.com,New Report,2.57
 urbanplanet.org,New Report,2.86
 usmcoc.org,New Report,2.33
 uwf.edu,New Report,2.28
 vadstenadirect.se,New Report,2.54
 vatrin.com,New Report,2.40
 ve.wordpress.org,New Report,2.46
 velocitynation.com,New Report,2.55
 verifone.com,New Report,2.77
 vernalcity.org,New Report,2.33
 ververica.com,New Report,2.20
 verzitex.com,New Report,2.00
 viaggiareibalcani.it,New Report,2.72
 voipsipsdk.com,New Report,3.10
 volleyspike.com,New Report,2.29
 walkmymind.com,New Report,2.55
 wallery.app,New Report,2.20
 wayward.archive.org,New Report,2.00
 weareconvoy.com,New Report,2.67
 webpak.net,New Report,2.45
 weinfassmoebel.com,New Report,2.62
 welcometosierraleone.org,New Report,2.83
 westconf.net,New Report,2.05
 wiki.laptop.org,New Report,3.00
 winnipegfreepress.com,New Report,2.86
 wordpress.dwbooster.com,New Report,2.15
 worldyannews.com,New Report,3.00
 wpbusinessreviews.com,New Report,3.04
 wpmultistorelocator.com,New Report,2.78
 wpswings.com,New Report,2.12
 x3m.games,New Report,2.83
 xyz,spolkacywilna.pl,2.50
 ynlc.ca,New Report,2.92
 yourei.jp,New Report,2.83
 zachscott.com,New Report,2.00
 zbozi.cz,New Report,2.35
 zebrabook.bg,New Report,2.07
 zuluwaterways.com,New Report,2.34
